,COM,MFH,SFH,APPRT
5789,0.28205164788129555,0.2754806270334221,0.331399564902103,0.331399564902103
5790,0.30730489370808967,0.3280094646554274,0.304415437917976,0.304415437917976
5791,0.2556427450420887,0.2916001183081929,0.2537869631778261,0.2537869631778261
5792,0.23626765587102297,0.29568175096125404,0.24823140762227058,0.24823140762227058
5793,0.22277072335568554,0.27849748595090207,0.23204415437917977,0.23204415437917977
5794,0.20462262804965045,0.267435669920142,0.23109338490049153,0.23109338490049153
5795,0.19726066485946642,0.2694764862466726,0.22204898880025786,0.22204898880025786
5796,0.17517477528891426,0.2432712215320911,0.2014140681653372,0.2014140681653372
5797,0.15418747324868026,0.24939367051168293,0.1957013939247442,0.1957013939247442
5798,0.15050649165358826,0.2269446909198462,0.18617758440093465,0.18617758440093465
5799,0.13455557140818947,0.2249038745933156,0.20220771895898798,0.20220771895898798
5800,0.14572692252817807,0.24208813960366754,0.21728708403835306,0.21728708403835306
5801,0.15541446711371096,0.25723158828748893,0.21665055192973975,0.21665055192973975
5802,0.17640176915394493,0.26625258799171847,0.227282249617275,0.227282249617275
5803,0.17640176915394493,0.28870156758355514,0.2304568527918782,0.2304568527918782
5804,0.17026679982879156,0.2805383022774327,0.2103013455805334,0.2103013455805334
5805,0.15567127978313597,0.25025140490979003,0.16379824349367497,0.16379824349367497
5806,0.12389784562705095,0.1823720792664892,0.12189992748368383,0.12189992748368383
5807,0.1343558282208589,0.13081928423543332,0.10666344371928128,0.10666344371928128
5808,0.13545441575117706,0.13490091688849454,0.10825074530658288,0.10825074530658288
5809,0.12254244542730774,0.12792073351079564,0.10840786399162035,0.10840786399162035
5810,0.13642459694678272,0.1267376515823721,0.11888244299411813,0.11888244299411813
5811,0.16206306177771437,0.21384205856255545,0.1487188784143099,0.1487188784143099
5812,0.18660293907832787,0.3047027506654836,0.25568850213520267,0.25568850213520267
5813,0.2603509773148809,0.2725820763087844,0.3306059141084522,0.3306059141084522
5814,0.27740048509059784,0.3251109139307897,0.30108371605833534,0.30108371605833534
5815,0.23698102439720362,0.28955930198166224,0.2537869631778261,0.2537869631778261
5816,0.2090169781709231,0.2907423839100858,0.24823140762227058,0.24823140762227058
5817,0.21960336709944359,0.27559893522626444,0.22950608331318992,0.22950608331318992
5818,0.17517477528891426,0.267435669920142,0.22855531383450167,0.22855531383450167
5819,0.17504636895420175,0.2665779355220349,0.22204898880025786,0.22204898880025786
5820,0.15515765444428592,0.2432712215320911,0.2014140681653372,0.2014140681653372
5821,0.17717220716222,0.24735285418515232,0.19490774313109338,0.19490774313109338
5822,0.16477386217720075,0.2269446909198462,0.18617758440093465,0.18617758440093465
5823,0.15334569838778714,0.22286305826678499,0.2014140681653372,0.2014140681653372
5824,0.14043372806391782,0.23918958887902986,0.21728708403835306,0.21728708403835306
5825,0.13849336567270654,0.2551907719609583,0.21665055192973975,0.21665055192973975
5826,0.15037808531887575,0.26625258799171847,0.2264885988236242,0.2264885988236242
5827,0.1479240975888144,0.28666075125702456,0.2304568527918782,0.2304568527918782
5828,0.15554287344842346,0.27849748595090207,0.2095076947868826,0.2095076947868826
5829,0.14217434726779854,0.25025140490979003,0.16379824349367497,0.16379824349367497
5830,0.11750606363247254,0.17947352854185153,0.12189992748368383,0.12189992748368383
5831,0.1335853902125838,0.1435965690624076,0.11173958585126098,0.11173958585126098
5832,0.15470109858753034,0.14477965099083112,0.11332688743856256,0.11332688743856256
5833,0.1740761877585961,0.1406980183377699,0.11427765691725084,0.11427765691725084
5834,0.2163076045084891,0.13747412008281573,0.12649665619208766,0.12649665619208766
5835,0.26500214010557854,0.2353149955634428,0.16299653533156072,0.16299653533156072
5836,0.2972321301184192,0.3369121561668146,0.2817057449037145,0.2817057449037145
5837,0.22974746754173206,0.3143448683821355,0.35567238739827567,0.35567238739827567
5838,0.2619061207019546,0.3573203194321207,0.3253565385545081,0.3253565385545081
5839,0.1990726209159652,0.3188701567583555,0.2747280638143582,0.2747280638143582
5840,0.1829932943358539,0.3200532386867791,0.2691725082588027,0.2691725082588027
5841,0.1844771008703096,0.3028689736764271,0.2471154620900814,0.2471154620900814
5842,0.16607219289484948,0.2909494232475599,0.2436266215454033,0.2436266215454033
5843,0.16497360536453132,0.2909494232475599,0.23458222544516963,0.23458222544516963
5844,0.15380225424454275,0.2647441585329784,0.2131536540165982,0.2131536540165982
5845,0.14876587244970751,0.26796805678793256,0.20744097977600517,0.20744097977600517
5846,0.14521329718932802,0.24551907719609584,0.19791717025219566,0.19791717025219566
5847,0.13907832786417462,0.2443359952676723,0.21394730481024898,0.21394730481024898
5848,0.1485090597802825,0.26356107660455486,0.22982032068326486,0.22982032068326486
5849,0.15502924810957341,0.28160307601301393,0.23172185964064138,0.23172185964064138
5850,0.16387501783421315,0.2935226264418811,0.24489162839416648,0.24489162839416648
5851,0.17195034955057784,0.3159716060337179,0.24806623156876964,0.24806623156876964
5852,0.18557568840062777,0.30780834072759544,0.22457900249778423,0.22457900249778423
5853,0.16374661149950065,0.2717243419106773,0.177282249617275,0.177282249617275
5854,0.14191753459837353,0.19804791481810116,0.13030779147530416,0.13030779147530416
5855,0.14017691539449278,0.16013013901212658,0.11935379904923053,0.11935379904923053
