Hours,COM,MFH,SFH,APPRT
4315,0.017534598373519762,0.07604259094942326,0.054042784626540975,0.054042784626540975
4316,0.02073048937080896,0.07196095829636204,0.043965031020868586,0.043965031020868586
4317,0.015209016978170925,0.05783791777580598,0.023569817097735882,0.023569817097735882
4318,0.002325581395348837,0.027388346643005032,0.006349206349206349,0.006349206349206349
4319,0.0115280353830789,0.010899142265601893,0.0003968253968253968,0.0003968253968253968
4320,0.02147239263803681,0.01396036675539781,0.0011904761904761906,0.0011904761904761906
4321,0.02883435582822086,0.0119195504288672,0.0003968253968253968,0.0003968253968253968
4322,0.053987730061349694,0.008858325939071281,0.003968253968253968,0.003968253968253968
4323,0.07484662576687116,0.048491570541259986,0.01975868181451938,0.01975868181451938
4324,0.08453417035240407,0.09000295770482106,0.06999033115784385,0.06999033115784385
4325,0.05373091739192467,0.06959479443951493,0.10800298122633148,0.10800298122633148
4326,0.07213582536738479,0.10208518189884651,0.09276649746192894,0.09276649746192894
4327,0.03900699101155657,0.08388050872522922,0.0686427362823302,0.0686427362823302
4328,0.032130118419175346,0.08592132505175984,0.06586495850455241,0.06586495850455241
4329,0.0328720216864032,0.0787784679089027,0.06070622834582226,0.06070622834582226
4330,0.023669567698673136,0.0728186926944691,0.058961808073483196,0.058961808073483196
4331,0.024283064631188473,0.0728186926944691,0.05697768108935622,0.05697768108935622
4332,0.018148095306035096,0.06363501922508134,0.04451897510273145,0.04451897510273145
4333,0.016179198173776575,0.06669624371487726,0.04293167351542987,0.04293167351542987
4334,0.015565701241261236,0.05547175391895889,0.0385665941503505,0.0385665941503505
4335,0.013111713511199885,0.05445134575569358,0.044915800499556846,0.044915800499556846
4336,0.016664288771579397,0.06159420289855073,0.05459672870840383,0.05459672870840383
4337,0.018761592238550437,0.06669624371487726,0.05300942712110225,0.05300942712110225
4338,0.02489656156370381,0.07077787636793847,0.05578720489888003,0.05578720489888003
4339,0.02660864602653731,0.08388050872522922,0.059912577552171456,0.059912577552171456
4340,0.032258524753887866,0.07979887607216798,0.05023164934332447,0.05023164934332447
4341,0.024283064631188473,0.06567583555161197,0.026504713560551126,0.026504713560551126
4342,0.013368526180624911,0.034205856255545695,0.006746031746031746,0.006746031746031746
4343,0.012498216578684548,0.018737060041407867,0.0029348964628152442,0.0029348964628152442
4344,0.022927664431445286,0.0178793256433008,0.004125372653291435,0.004125372653291435
4345,0.02244257383364246,0.015838509316770187,0.0029348964628152442,0.0029348964628152442
4346,0.025995149094021973,0.016696243714877254,0.00944122149705906,0.00944122149705906
4347,0.04440005706948209,0.06314699792960662,0.027769720409314316,0.027769720409314316
